"country","iso2","iso3","year","new","type","sex","age","cases"
"Afghanistan","AF","AFG",1997,"new","sp","m","014",0
"Afghanistan","AF","AFG",1997,"new","sp","m","1524",10
"Afghanistan","AF","AFG",1997,"new","sp","m","2534",6
"Afghanistan","AF","AFG",1997,"new","sp","m","3544",3
"Afghanistan","AF","AFG",1997,"new","sp","m","4554",5
"Afghanistan","AF","AFG",1997,"new","sp","m","5564",2
"Afghanistan","AF","AFG",1997,"new","sp","m","65",0
"Afghanistan","AF","AFG",1997,"new","sp","f","014",5
"Afghanistan","AF","AFG",1997,"new","sp","f","1524",38
"Afghanistan","AF","AFG",1997,"new","sp","f","2534",36
"Afghanistan","AF","AFG",1997,"new","sp","f","3544",14
"Afghanistan","AF","AFG",1997,"new","sp","f","4554",8
"Afghanistan","AF","AFG",1997,"new","sp","f","5564",0
"Afghanistan","AF","AFG",1997,"new","sp","f","65",1
"Afghanistan","AF","AFG",1998,"new","sp","m","014",30
"Afghanistan","AF","AFG",1998,"new","sp","m","1524",129
"Afghanistan","AF","AFG",1998,"new","sp","m","2534",128
"Afghanistan","AF","AFG",1998,"new","sp","m","3544",90
"Afghanistan","AF","AFG",1998,"new","sp","m","4554",89
"Afghanistan","AF","AFG",1998,"new","sp","m","5564",64
"Afghanistan","AF","AFG",1998,"new","sp","m","65",41
"Afghanistan","AF","AFG",1998,"new","sp","f","014",45
"Afghanistan","AF","AFG",1998,"new","sp","f","1524",350
"Afghanistan","AF","AFG",1998,"new","sp","f","2534",419
"Afghanistan","AF","AFG",1998,"new","sp","f","3544",194
"Afghanistan","AF","AFG",1998,"new","sp","f","4554",118
"Afghanistan","AF","AFG",1998,"new","sp","f","5564",61
"Afghanistan","AF","AFG",1998,"new","sp","f","65",20
"Afghanistan","AF","AFG",1999,"new","sp","m","014",8
"Afghanistan","AF","AFG",1999,"new","sp","m","1524",55
"Afghanistan","AF","AFG",1999,"new","sp","m","2534",55
"Afghanistan","AF","AFG",1999,"new","sp","m","3544",47
"Afghanistan","AF","AFG",1999,"new","sp","m","4554",34
"Afghanistan","AF","AFG",1999,"new","sp","m","5564",21
"Afghanistan","AF","AFG",1999,"new","sp","m","65",8
"Afghanistan","AF","AFG",1999,"new","sp","f","014",25
"Afghanistan","AF","AFG",1999,"new","sp","f","1524",139
"Afghanistan","AF","AFG",1999,"new","sp","f","2534",160
"Afghanistan","AF","AFG",1999,"new","sp","f","3544",110
"Afghanistan","AF","AFG",1999,"new","sp","f","4554",50
"Afghanistan","AF","AFG",1999,"new","sp","f","5564",25
"Afghanistan","AF","AFG",1999,"new","sp","f","65",8
"Afghanistan","AF","AFG",2000,"new","sp","m","014",52
"Afghanistan","AF","AFG",2000,"new","sp","m","1524",228
"Afghanistan","AF","AFG",2000,"new","sp","m","2534",183
"Afghanistan","AF","AFG",2000,"new","sp","m","3544",149
"Afghanistan","AF","AFG",2000,"new","sp","m","4554",129
"Afghanistan","AF","AFG",2000,"new","sp","m","5564",94
"Afghanistan","AF","AFG",2000,"new","sp","m","65",80
"Afghanistan","AF","AFG",2000,"new","sp","f","014",93
"Afghanistan","AF","AFG",2000,"new","sp","f","1524",414
"Afghanistan","AF","AFG",2000,"new","sp","f","2534",565
